,album,release_date,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
88,RBB - The 5th Mini Album,2018-11-30,1,4xjVP2Vogo0C72o6Nevq0W,RBB (Really Bad Boy),spotify:track:4xjVP2Vogo0C72o6Nevq0W,0.012,0.719,0.85,0.000239,0.114,-3.229,0.0317,150.059,0.367,61,red velvet
89,RBB - The 5th Mini Album,2018-11-30,2,0cZMA3EdKJKrKoGQEeMhFJ,Butterflies,spotify:track:0cZMA3EdKJKrKoGQEeMhFJ,0.147,0.696,0.776,8.73e-06,0.0839,-5.728,0.0395,120.008,0.494,51,red velvet
90,RBB - The 5th Mini Album,2018-11-30,3,0W9HGC75wwxU4YweY045ln,So Good,spotify:track:0W9HGC75wwxU4YweY045ln,0.275,0.567,0.863,0.0,0.197,-3.97,0.124,153.899,0.618,50,red velvet
91,RBB - The 5th Mini Album,2018-11-30,4,1GpDAcUjhk3luk6ce8pOi1,Sassy Me,spotify:track:1GpDAcUjhk3luk6ce8pOi1,0.287,0.744,0.76,6.4e-05,0.0791,-5.381,0.183,97.02,0.494,48,red velvet
92,RBB - The 5th Mini Album,2018-11-30,5,7klUw55UuyxUyGZVsj3Hod,Taste,spotify:track:7klUw55UuyxUyGZVsj3Hod,0.0878,0.466,0.723,0.0,0.0737,-5.323,0.399,199.656,0.884,43,red velvet
93,RBB - The 5th Mini Album,2018-11-30,6,1IGMiTUqSpmRxmwL2pNX0n,RBB (Really Bad Boy) - English Version,spotify:track:1IGMiTUqSpmRxmwL2pNX0n,0.0117,0.717,0.867,5.46e-05,0.118,-3.26,0.0319,150.109,0.376,47,red velvet
100,Summer Magic - Summer Mini Album,2018-08-06,1,381g0b6QZxC13SzA2HRMIc,Power Up,spotify:track:381g0b6QZxC13SzA2HRMIc,0.0774,0.732,0.934,0.00745,0.306,-4.618,0.144,159.998,0.898,65,red velvet
101,Summer Magic - Summer Mini Album,2018-08-06,2,5mtEzYr9nGgp57atg6JwX0,With You,spotify:track:5mtEzYr9nGgp57atg6JwX0,0.184,0.7,0.8,0.0,0.202,-4.066,0.0965,102.964,0.617,44,red velvet
102,Summer Magic - Summer Mini Album,2018-08-06,3,4JvBfIuKj8ThydmnLtTmOr,Mr. E,spotify:track:4JvBfIuKj8ThydmnLtTmOr,0.261,0.467,0.813,1.13e-05,0.341,-4.81,0.345,194.065,0.793,42,red velvet
103,Summer Magic - Summer Mini Album,2018-08-06,4,43y2u5KxBknQ9lQ2ILT1Eo,Mosquito,spotify:track:43y2u5KxBknQ9lQ2ILT1Eo,0.0817,0.756,0.851,1.15e-05,0.187,-4.323,0.0475,96.057,0.551,43,red velvet
104,Summer Magic - Summer Mini Album,2018-08-06,5,7dafpAJczCDB1Pzz7bRSCh,Hit That Drum,spotify:track:7dafpAJczCDB1Pzz7bRSCh,0.173,0.698,0.984,1.82e-05,0.495,-3.764,0.0989,128.028,0.519,45,red velvet
105,Summer Magic - Summer Mini Album,2018-08-06,6,5XTQXTzEVpYq8wL6DZYgSz,Blue Lemonade,spotify:track:5XTQXTzEVpYq8wL6DZYgSz,0.0452,0.749,0.825,0.0,0.0966,-4.447,0.0438,120.014,0.455,51,red velvet
106,Summer Magic - Summer Mini Album,2018-08-06,7,78HD9IN4cKE1MMHWeVJPWh,Bad Boy - (English Version) [Bonus Track],spotify:track:78HD9IN4cKE1MMHWeVJPWh,0.21,0.723,0.726,0.0,0.061,-4.512,0.043,150.011,0.839,61,red velvet
