,album,release_date,track_number,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
53,Merry & Happy,2017-12-11,2,Merry & Happy,0.40399999999999997,0.716,0.63,0.0,0.0817,-4.122,0.0376,154.078,0.667,51,twice
54,twicetagram,2017-11-01,1,LIKEY,0.431,0.723,0.898,0.0015,0.136,-1.081,0.0354,131.96,0.39399999999999996,56,twice
55,twicetagram,2017-11-01,2,TURTLE,0.5529999999999999,0.7290000000000001,0.804,0.0,0.15,-3.428,0.135,95.139,0.609,46,twice
56,twicetagram,2017-11-01,3,MISSING U,0.212,0.805,0.7020000000000001,0.0,0.11199999999999999,-3.387,0.054000000000000006,119.995,0.833,33,twice
57,twicetagram,2017-11-01,4,WOW,0.355,0.7759999999999999,0.915,0.0,0.0537,-3.4589999999999996,0.151,160.092,0.909,25,twice
58,twicetagram,2017-11-01,5,FFW,0.125,0.71,0.946,3.02e-06,0.282,-2.145,0.0465,127.984,0.895,27,twice
59,twicetagram,2017-11-01,6,DING DONG,0.0557,0.6579999999999999,0.879,0.0,0.233,-3.292,0.0531,149.998,0.8240000000000001,25,twice
60,twicetagram,2017-11-01,8,LOOK AT ME,0.146,0.72,0.909,0.0,0.0675,-3.375,0.0389,134.898,0.662,34,twice
61,twicetagram,2017-11-01,9,ROLLIN',0.0402,0.8859999999999999,0.62,0.0087,0.273,-5.1160000000000005,0.0428,122.014,0.272,24,twice
62,twicetagram,2017-11-01,10,LOVE LINE,0.251,0.696,0.784,0.0,0.11,-4.6,0.0437,95.01899999999999,0.542,30,twice
63,twicetagram,2017-11-01,11,DON'T GIVE UP,0.0574,0.838,0.6579999999999999,9.55e-06,0.124,-5.843,0.0456,102.98200000000001,0.414,25,twice
64,twicetagram,2017-11-01,12,YOU IN MY HEART,0.28600000000000003,0.6920000000000001,0.867,0.0,0.109,-4.145,0.0331,102.988,0.382,32,twice
65,twicetagram,2017-11-01,13,JALJAYO GOOD NIGHT,0.848,0.721,0.396,0.0,0.0911,-8.3,0.0344,133.97899999999998,0.359,31,twice
66,TWICEcoaster : LANE1,2017-02-24,3,PONYTAIL,0.17,0.516,0.955,0.0,0.7509999999999999,-1.133,0.0529,161.905,0.8270000000000001,27,twice
67,TWICEcoaster : LANE2,2017-02-21,1,KNOCK KNOCK,0.0242,0.6729999999999999,0.968,0.0,0.0586,-2.636,0.131,129.972,0.47600000000000003,52,twice
68,TWICEcoaster : LANE2,2017-02-21,4,1 TO 10,0.12,0.621,0.8290000000000001,0.0,0.16,-3.484,0.23199999999999998,88.428,0.742,45,twice
69,TWICEcoaster : LANE2,2017-02-21,6,JELLY JELLY,0.111,0.703,0.8909999999999999,4.73e-06,0.34299999999999997,-1.2819999999999998,0.124,163.929,0.855,47,twice
70,TWICEcoaster : LANE2,2017-02-21,7,PIT-A-PAT,0.114,0.741,0.885,0.000149,0.293,-2.475,0.127,89.008,0.5870000000000001,31,twice
