,album,release_date,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
175,twicetagram,2017-11-01,5,1qLn52MB7LOWt3TYvrAn1a,FFW,spotify:track:1qLn52MB7LOWt3TYvrAn1a,0.125,0.71,0.946,3.02e-06,0.282,-2.145,0.0465,127.984,0.895,27,twice
176,twicetagram,2017-11-01,6,7j5keEifFIjiTz9HovXBh1,DING DONG,spotify:track:7j5keEifFIjiTz9HovXBh1,0.0557,0.658,0.879,0.0,0.233,-3.292,0.0531,149.998,0.824,25,twice
178,twicetagram,2017-11-01,8,5AHS8rvrlaiW66d32DqNSg,LOOK AT ME,spotify:track:5AHS8rvrlaiW66d32DqNSg,0.146,0.72,0.909,0.0,0.0675,-3.375,0.0389,134.898,0.662,34,twice
179,twicetagram,2017-11-01,9,3sqONCpr1aAqxihn48OVQl,ROLLIN',spotify:track:3sqONCpr1aAqxihn48OVQl,0.0402,0.886,0.62,0.0087,0.273,-5.116,0.0428,122.014,0.272,24,twice
180,twicetagram,2017-11-01,10,2hwkgh4md78Rs0Nq4HN5v3,LOVE LINE,spotify:track:2hwkgh4md78Rs0Nq4HN5v3,0.251,0.696,0.784,0.0,0.11,-4.6,0.0437,95.019,0.542,30,twice
181,twicetagram,2017-11-01,11,5LH49TmiLoM5TNM8iaPPxP,DON'T GIVE UP,spotify:track:5LH49TmiLoM5TNM8iaPPxP,0.0574,0.838,0.658,9.55e-06,0.124,-5.843,0.0456,102.982,0.414,25,twice
182,twicetagram,2017-11-01,12,6nfx5va3KMUaeYdi517Fir,YOU IN MY HEART,spotify:track:6nfx5va3KMUaeYdi517Fir,0.286,0.692,0.867,0.0,0.109,-4.145,0.0331,102.988,0.382,32,twice
183,twicetagram,2017-11-01,13,1eaCZxdjrLOSwRxkz4kGZV,JALJAYO GOOD NIGHT,spotify:track:1eaCZxdjrLOSwRxkz4kGZV,0.848,0.721,0.396,0.0,0.0911,-8.3,0.0344,133.979,0.359,31,twice
184,Twicetagram,2017-10-30,1,4P66rfizAl2nIJCICSMymC,Likey,spotify:track:4P66rfizAl2nIJCICSMymC,0.42,0.722,0.903,0.000371,0.118,-1.261,0.0331,132.006,0.445,69,twice
185,Twicetagram,2017-10-30,2,1YaPqQfNDIx8mvcW5pIeE4,Turtle,spotify:track:1YaPqQfNDIx8mvcW5pIeE4,0.553,0.741,0.809,0.0,0.142,-3.595,0.134,94.986,0.615,53,twice
186,Twicetagram,2017-10-30,3,4FW8Ty8M7iyKIk2wwNKlcM,Missing U,spotify:track:4FW8Ty8M7iyKIk2wwNKlcM,0.215,0.807,0.704,0.0,0.108,-3.686,0.0476,119.965,0.856,47,twice
187,Twicetagram,2017-10-30,4,4twR4vaaqvMbay7jlXCBgl,Wow,spotify:track:4twR4vaaqvMbay7jlXCBgl,0.355,0.776,0.917,0.0,0.0532,-3.654,0.157,160.127,0.928,40,twice
188,Twicetagram,2017-10-30,5,0iDyfwY9Yud1i20Q95c4q8,Ffw,spotify:track:0iDyfwY9Yud1i20Q95c4q8,0.141,0.707,0.946,6.44e-06,0.299,-2.324,0.045,127.965,0.916,41,twice
