,album,release_date,track_number,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
52,Close To Me (Red Velvet Remix),2019-04-05,1,Close To Me - Red Velvet Remix,0.233,0.593,0.6859999999999999,0.0,0.36,-6.58,0.0411,143.986,0.45299999999999996,56,red velvet
53,Sayonara,2019-02-20,1,Sayonara,0.46799999999999997,0.498,0.755,2.67e-06,0.267,-4.551,0.052000000000000005,120.064,0.556,40,red velvet
54,SAPPY,2019-01-06,1,SAPPY,0.0512,0.746,0.93,1.28e-06,0.0957,-2.0269999999999997,0.147,106.031,0.466,47,red velvet
55,RBB - The 5th Mini Album,2018-11-30,1,RBB (Really Bad Boy),0.012,0.7190000000000001,0.85,0.000239,0.114,-3.2289999999999996,0.0317,150.059,0.36700000000000005,61,red velvet
56,RBB - The 5th Mini Album,2018-11-30,2,Butterflies,0.147,0.696,0.7759999999999999,8.73e-06,0.0839,-5.728,0.0395,120.008,0.494,51,red velvet
57,RBB - The 5th Mini Album,2018-11-30,3,So Good,0.275,0.5670000000000001,0.863,0.0,0.19699999999999998,-3.97,0.124,153.899,0.618,50,red velvet
58,RBB - The 5th Mini Album,2018-11-30,4,Sassy Me,0.287,0.7440000000000001,0.76,6.4e-05,0.0791,-5.381,0.183,97.02,0.494,48,red velvet
59,RBB - The 5th Mini Album,2018-11-30,5,Taste,0.0878,0.466,0.723,0.0,0.0737,-5.3229999999999995,0.39899999999999997,199.65599999999998,0.884,43,red velvet
60,RBB - The 5th Mini Album,2018-11-30,6,RBB (Really Bad Boy) - English Version,0.0117,0.7170000000000001,0.867,5.4600000000000006e-05,0.11800000000000001,-3.26,0.0319,150.109,0.376,47,red velvet
61,Summer Magic - Summer Mini Album,2018-08-06,1,Power Up,0.0774,0.732,0.934,0.00745,0.306,-4.618,0.14400000000000002,159.998,0.898,65,red velvet
62,Summer Magic - Summer Mini Album,2018-08-06,2,With You,0.184,0.7,0.8,0.0,0.20199999999999999,-4.066,0.0965,102.964,0.617,44,red velvet
63,Summer Magic - Summer Mini Album,2018-08-06,3,Mr. E,0.261,0.467,0.813,1.13e-05,0.341,-4.81,0.345,194.065,0.7929999999999999,42,red velvet
64,Summer Magic - Summer Mini Album,2018-08-06,4,Mosquito,0.0817,0.7559999999999999,0.851,1.15e-05,0.187,-4.323,0.0475,96.057,0.551,43,red velvet
65,Summer Magic - Summer Mini Album,2018-08-06,5,Hit That Drum,0.17300000000000001,0.698,0.9840000000000001,1.82e-05,0.495,-3.764,0.0989,128.028,0.519,45,red velvet
66,Summer Magic - Summer Mini Album,2018-08-06,6,Blue Lemonade,0.0452,0.7490000000000001,0.825,0.0,0.0966,-4.447,0.0438,120.014,0.455,51,red velvet
67,Summer Magic - Summer Mini Album,2018-08-06,7,Bad Boy - (English Version) [Bonus Track],0.21,0.723,0.726,0.0,0.061,-4.512,0.043,150.011,0.8390000000000001,61,red velvet
68,#Cookie Jar,2018-07-04,1,#Cookie Jar,0.0159,0.682,0.9590000000000001,0.0,0.19,-2.0540000000000003,0.0969,158.924,0.893,49,red velvet
69,#Cookie Jar,2018-07-04,2,Aitai-tai,0.0314,0.754,0.7290000000000001,1.77e-05,0.162,-3.3280000000000003,0.0484,131.985,0.9059999999999999,41,red velvet
70,#Cookie Jar,2018-07-04,3,Cause it's you,0.222,0.6970000000000001,0.521,0.0,0.158,-3.718,0.0328,116.95,0.575,37,red velvet
71,#Cookie Jar,2018-07-04,5,Russian Roulette,0.00909,0.706,0.902,0.00137,0.17,-2.543,0.0352,130.024,0.9640000000000001,61,red velvet
72,#Cookie Jar,2018-07-04,6,Red Flavor,0.0364,0.708,0.91,0.0,0.0873,-3.282,0.172,125.029,0.588,42,red velvet
73,환생 Rebirth,2017-08-18,1,환생 Rebirth,0.31,0.769,0.569,0.000101,0.0674,-4.678999999999999,0.0503,86.98299999999999,0.755,44,red velvet
74,환생 Rebirth,2017-08-18,2,환생 Rebirth - Instrumental,0.0387,0.743,0.5479999999999999,0.878,0.125,-6.727,0.0574,173.985,0.629,22,red velvet
