,album,release_date,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
35,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL - Live,2019-08-30,10,6VYBZAx5gthgG13v5EmqF1,BOOMBAYAH - Live,spotify:track:6VYBZAx5gthgG13v5EmqF1,0.0786,0.613,0.863,0.0,0.342,-4.388,0.0826,124.922,0.409,45,blackpink
36,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL - Live,2019-08-30,11,6dQm3qZcTwbHETRI09g0lW,As If It's Your Last - Live,spotify:track:6dQm3qZcTwbHETRI09g0lW,0.19,0.643,0.918,0.0,0.592,-3.866,0.107,125.0,0.428,45,blackpink
37,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL - Live,2019-08-30,12,7tKRoZAgyJ3onTmtLTrHpR,WHISTLE - Live - Remix,spotify:track:7tKRoZAgyJ3onTmtLTrHpR,0.14,0.681,0.923,0.0,0.409,-3.781,0.0935,112.952,0.532,45,blackpink
38,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL - Live,2019-08-30,13,0U9QYwRpAx6zNaOzfqka3h,DDU-DU DDU-DU - Live - Remix,spotify:track:0U9QYwRpAx6zNaOzfqka3h,0.0413,0.58,0.896,0.0,0.449,-3.411,0.131,139.973,0.379,45,blackpink
39,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL - Live,2019-08-30,14,2m2FYNpmv0zTbrLJytR6N9,STAY - Live,spotify:track:2m2FYNpmv0zTbrLJytR6N9,0.594,0.342,0.39,0.0,0.966,-8.777,0.0477,175.027,0.489,44,blackpink
40,"BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",2019-03-13,1,6PDvHZDWtGSVr8LXN3stsH,"DDU-DU DDU-DU - BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",spotify:track:6PDvHZDWtGSVr8LXN3stsH,0.0918,0.571,0.849,4.46e-06,0.936,-8.306,0.143,139.937,0.39,43,blackpink
41,"BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",2019-03-13,2,32ssBfmhrG6qbEapVNwAOm,"FOREVER YOUNG - BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",spotify:track:32ssBfmhrG6qbEapVNwAOm,0.0412,0.588,0.897,0.0,0.708,-6.947,0.0821,109.838,0.379,42,blackpink
42,"BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",2019-03-13,3,3QuzFJUtG9H4RoEv5J9mCP,"WHISTLE - Acoustic Ver. BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",spotify:track:3QuzFJUtG9H4RoEv5J9mCP,0.655,0.729,0.512,0.0,0.695,-9.975,0.0527,102.935,0.663,41,blackpink
43,"BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",2019-03-13,4,5x9VzjchhXQfDBZcnO5xPM,"STAY - BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",spotify:track:5x9VzjchhXQfDBZcnO5xPM,0.245,0.551,0.407,0.0,0.298,-8.613,0.0306,88.099,0.507,41,blackpink
44,"BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",2019-03-13,5,7Iv6YcXoLNhTPYhHqtyNUy,"LET IT BE〜 YOU&I〜 ONLY LOOK AT ME / ROSÉ - BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",spotify:track:7Iv6YcXoLNhTPYhHqtyNUy,0.837,0.359,0.29,0.0,0.507,-11.105,0.038,137.304,0.226,58,blackpink
